"session";"participant.code";"round.number";"participant.id";"element_id";"enter_time";"leave_time";"duration";"attributeType";"attributeValue";"stimulusID";"foodName";"view_order";"sustainable.choice";"combined_var";"treatment.group"
"8nvcnd3s";"yop8islv";1;5;"att_A1";1721565717992;1721565718907;915;"Preis";1;4;"Erdnussbutter-Marmeladen-Sandwich";1;1;"A_preis";"label"
"8nvcnd3s";"yop8islv";1;5;"att_B1";1721565718908;1721565720449;1541;"Preis";1,15;4;"Vollmilchschokolade";2;1;"B_preis";"label"
"8nvcnd3s";"yop8islv";1;5;"att_A2";1721565720450;1721565723012;2562;" CO2e/ kg";1498;4;"Erdnussbutter-Marmeladen-Sandwich";3;1;"A_CO2e/kg";"label"
"8nvcnd3s";"yop8islv";1;5;"att_B2";1721565723012;1721565725745;2733;" CO2e/ kg";5763;4;"Vollmilchschokolade";4;1;"B_CO2e/kg";"label"
"8nvcnd3s";"yop8islv";1;5;"att_A3";1721565725745;1721565728523;2778;" Protein";10;4;"Erdnussbutter-Marmeladen-Sandwich";5;1;"A_Protein";"label"
"8nvcnd3s";"yop8islv";1;5;"att_B3";1721565728525;1721565736359;7834;" Protein";4;4;"Vollmilchschokolade";6;1;"B_Protein";"label"
"8nvcnd3s";"suchwgz9";1;7;"att_A1";1721566661296;1721566665247;3951;"Preis";17,5;11;"Spaghetti Marinara";1;0;"A_preis";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_B1";1721566667239;1721566668345;1106;"Preis";20;11;"Spaghetti Meatballs";2;0;"B_preis";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_A1";1721566668346;1721566668885;539;"Preis";17,5;11;"Spaghetti Marinara";3;0;"A_preis";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_A2";1721566668886;1721566669849;963;" CO2e/ kg";2100;11;"Spaghetti Marinara";4;0;"A_CO2e/kg";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_B2";1721566669849;1721566670742;893;" CO2e/ kg";17914;11;"Spaghetti Meatballs";5;0;"B_CO2e/kg";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_A2";1721566670742;1721566673120;2378;" CO2e/ kg";2100;11;"Spaghetti Marinara";6;0;"A_CO2e/kg";"norm"
"8nvcnd3s";"suchwgz9";1;7;"att_B2";1721566673124;1721566676120;2996;" CO2e/ kg";17914;11;"Spaghetti Meatballs";7;0;"B_CO2e/kg";"norm"
